date,famille_transport,ligne,incidents
2019-07-09,intercites,Paris-Caen-Cherbourg Trouville/Deauville,"['Mises en place tardives de trains au départ à Paris Saint-Lazare', ""Répercussions de la panne d'un train de marchandises près de Rosny-sur-Seine"", ""Difficultés de circulation entre Mézidon et Lisieux en raison de retards d'autres trains""]"
2019-07-09,intercites,Paris-Rouen-Le Havre,"[""Avarie d'un passage à niveau entre Bréauté et Le Havre."", 'Mises en place tardives de trains au départ de Paris Saint-Lazare']"
2019-07-09,intercites,Paris-Granville,
2019-07-09,intercites,Caen-Le Mans-Tours,
2019-07-09,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,
2019-07-09,intercites,Paris-Briançon,
2019-09-19,transilien,A,
2019-09-19,transilien,B,"[""Panne d'une rame à St-Michel-Notre-Dame (RATP)"", 'Avarie à la caténaire entre Parc-des-Expositions et Aéroport-CDG 1', ""Panne d'une rame au Bourget"", 'Accident de personne à Gare-du-Nord']"
2019-09-19,transilien,C,
2019-09-19,transilien,D,"['Accident de personne à Gare-du-Nord', ""Conséquences de la panne d'une rame du RER B à St-Michel-Notre-Dame (RATP)""]"
2019-09-19,transilien,E,
2019-09-19,transilien,H,
2019-09-19,transilien,J,"['Dérangement de signalisation entre Poissy et Achères', 'Voyageurs récalcitrants sur un train Intercités à Paris-St-Lazare', 'Intervention des pompiers sur une feu de talus à Limay', ""Dérangement d'aiguillage à Aubergenville"", 'Panne informatique du poste 1 Vernouillet-Verneuil']"
2019-09-19,transilien,K,
2019-09-19,transilien,L,
2019-09-19,transilien,N,
2019-09-19,transilien,P,
2019-09-19,transilien,R,"[""Conséquences de retards des trains Intercités/TER sur l'axe Clermont-Ferrand (travaux à Riom-Châtel-Guyon)"", 'Limitation de vitesse en raison de travaux en cours à Maisons-Alfort', ""Dérangement d'un aiguillage à Montereau""]"
2019-09-19,transilien,U,
2019-09-19,transilien,T4,
2019-09-19,transilien,T11,
2019-09-19,ter,Grand Est,
2019-09-19,ter,Nouvelle-Aquitaine,
2019-09-19,ter,Auvergne-Rhône-Alpes,
2019-09-19,ter,Bourgogne-Franche-Comté,
2019-09-19,ter,Bretagne,
2019-09-19,ter,Centre-Val de Loire,
2019-09-19,ter,Occitanie,
2019-09-19,ter,Hauts-de-France,
2019-09-19,ter,Normandie,
2019-09-19,ter,Pays de la Loire,
2019-09-19,ter,Provence-Alpes-Côte d'Azur,
2019-09-19,tgv,nord,
2019-09-19,tgv,est,
2019-09-19,tgv,atlantique,
2019-09-19,tgv,sudest,
2019-09-19,tgv,ouigo,
2019-09-19,tgv,europe,"['Intervention des pompiers en gare de Paris Gare de Lyon', 'Avarie à un passage à niveau à Baillargues', ""Retard en provenance d'un autre réseau""]"
2019-09-19,intercites,Paris-Limoges-Toulouse,
2019-09-19,intercites,Paris-Clermont,['Défaut de géométrie de la voie constaté entre Vichy et Riom entraine la mise en place d’une limitation de vitesse impactant 5 IC ( Paris-Clermont)  pour un total de 88 minutes.']
2019-09-19,intercites,Bordeaux-Marseille,
2019-09-19,intercites,Nantes-Bordeaux,
2019-09-19,intercites,Nantes-Lyon,
2019-09-19,intercites,Toulouse-Bayonne,"[""IC 14151 retardé de 32 minutes suite à la présence d'un camion sur les voies à Lahonce."", ""Dérangement de signalisation entre Tournay et Tarbes impacte l'IC 14141 de 27 minutes.""]"
2019-09-19,intercites,Clermont-Béziers,
2019-09-19,intercites,Paris-Caen-Cherbourg Trouville/Deauville,"[""Panne d'aiguillage à Aubergenville : 6 IC touchés et 62’ perdues"", 'Panne de signalisation entre Poissy et Achères : 12 IC touchés et 102’ perdues.', 'Panne informatique pendant 45’ du Poste 1 de Vernouillet, 3 IC sont détournés, 5 IC touchés et 158’ perdues.', 'Branches sur la caténaire au niveau du PK 165 entre Bernay et Lisieux : IC touchés pour un total de 263 minutes de perdues.']"
2019-09-19,intercites,Paris-Rouen-Le Havre,"[""Panne d'aiguillage à Aubergenville : 6 IC touchés et 62’ perdues"", 'Panne de signalisation entre Poissy et Achères : 12 IC touchés et 102’ perdues.', 'Panne informatique pendant 45’ du Poste 1 de Vernouillet, 3 IC sont détournés, 5 IC touchés et 158’ perdues.', 'Branches sur la caténaire au niveau du PK 165 entre Bernay et Lisieux : IC touchés pour un total de 263 minutes de perdues.']"
2019-09-19,intercites,Paris-Granville,"['Sortie tardive du dépôt a impacté le 3410 (Granville - Paris ) de 23 minutes.', 'Difficultés de gestion des circulations entre Flers et Dreux ont elle impacté le 3420 (Granville - Paris ) de 10 minutes.', ""Voyageur récalcitrant en gare de Folligny impacte le 3450 (Granville-Paris) de 6 minutes à l'arrivée .""]"
2019-09-19,intercites,Caen-Le Mans-Tours,"[""Passage à niveau en raté d'ouverture entre Vignat et Couliboeuf impacte l'IC 13040 (Caen - Tours) de 7 minutes."", ""Attente correspondance au Mans pour des clients du TGV 8511 à destination de Caen impacte au final l'IC 13030 ( Tours - Caen ) pour 8 minutes.""]"
2019-09-19,intercites,Paris-Toulouse-Latour De Carol/Cerbere/Rodez,
2019-09-19,intercites,Paris-Briançon,
2019-10-17,transilien,A,['Incidents divers en secteur intra-muros (RATP)']
2019-10-17,transilien,B,"[""Panne d'une rame à Gare du Nord souterraine.""]"
2019-10-17,transilien,C,['Prolongation de travaux de nuit à Paris-Austerlitz']
2019-10-17,transilien,D,"[""Panne d'une rame du RER B à Gare du Nord souterraine."", ""Malaise d'un voyageur à Villeneuve-Triage."", 'Incident caténaire à Corbeil-Essonnes', 'Rames immobilisées en maintenance.']"
2019-10-17,transilien,E,"[""Suicide en gare d'Haussmann-St-Lazare."", 'Dérangement de signalisation à Gagny.']"
2019-10-17,transilien,H,
2019-10-17,transilien,J,
2019-10-17,transilien,K,['Perturbations liées à la circulation de trains fret.']
2019-10-17,transilien,L,"[""Panne d'un train à Nanterre-Université."", 'Difficultés de réception des rames à Paris-St-Lazare.']"
2019-10-17,transilien,N,['Personne dans les voies entre Le Perray et Rambouillet']
2019-10-17,transilien,P,
2019-10-17,transilien,R,"[""Panne d'un train à Gare de Lyon.""]"
2019-10-17,transilien,U,['Personne sur les voies entre Le Perray et Rambouillet.']
2019-10-17,transilien,T4,
2019-10-17,transilien,T11,"[""Difficultés d'exploitation""]"
2019-10-17,ter,Grand Est,
2019-10-17,ter,Nouvelle-Aquitaine,"['Pannes sur des passages à niveau à Ste-Eulalie-Carbon-Blanc (10 TER impactés) +\nun bris de barrière sur un autre passage à niveau à Langon (7 TER impactés).', ""Panne d'un train sur Aubazine-St-Hilaire suite à un défaut de traction (7 TER impactés)."", ""Heurt d'un arbre par un train sur la voie à St-Sulpice-Laurière (7 TER impactés).""]"
2019-10-17,ter,Auvergne-Rhône-Alpes,"['Prise en charge d’un voyageur malade  avec intervention des pompiers à St-Egrève (29 TER impactés).', 'Panne de signalisation à Amplepuis (27 TER impactés).', ""Problème d'adhérence à Villars-les Dombes (13 TER impactés)."", 'Présence d’une personne sur les emprises ferroviaires entre Poliénas et Vinay (8 TER impactés).']"
2019-10-17,ter,Bourgogne-Franche-Comté,
2019-10-17,ter,Bretagne,
2019-10-17,ter,Centre-Val de Loire,
2019-10-17,ter,Occitanie,
2019-10-17,ter,Hauts-de-France,
2019-10-17,ter,Normandie,"['Signalement de la présence d’enfants près de la voie à Frénouville-Gagny (14  TER impactés).', 'Limitation de la vitesse des trains suite à défaut de géométrie de la voie entre Mézidon et Caen (13 TER impactés).', ""Heurt d'un arbre par un train au niveau de Surdon (8 TER impactés).""]"
2019-10-17,ter,Pays de la Loire,
2019-10-17,ter,Provence-Alpes-Côte d'Azur,
2019-10-17,tgv,nord,
2019-10-17,tgv,est,
2019-10-17,tgv,atlantique,
2019-10-17,tgv,sudest,
2019-10-17,tgv,ouigo,
2019-10-17,tgv,europe,
2019-10-17,intercites,Paris-Limoges-Toulouse,"[""Grève sans préavis d'une partie du personnel roulant."", 'Panne de locomotive à Brive.', 'Panne de signalisation à Ambazac.']"
2019-10-17,intercites,Paris-Clermont,"['Présence de branches dans la caténaire à Briare.', 'Panne sur un passage à niveau à Moulins-sur-Allier.']"
2019-10-17,intercites,Bordeaux-Marseille,
2019-10-17,intercites,Nantes-Bordeaux,
2019-10-17,intercites,Nantes-Lyon,"['Panne de signalisation à Amplepuis.', 'Panne sur un passage à niveau à Moulins sur Allier.']"
2019-10-17,intercites,Toulouse-Bayonne,['Panne de signalisation entre Urt et Bayonne']
2019-10-17,intercites,Clermont-Béziers,
